year,1,2,3,4,5,6,7,8,IncrementÂ b
1967,1600,2000,2500,3200,3800,4200,4700,5300,500
1968,1600,2100,2600,3300,3900,4400,4900,5400,500
1969,1800,2400,3000,3600,4200,4800,5400,6000,600
1970,1900,2500,3100,3800,4400,5000,5600,6200,600
1971,2000,2600,3300,4000,4700,5300,5900,6500,600
1972,2100,2725,3450,4200,4925,5550,6200,6850,650
1973,2200,2900,3600,4300,5000,5700,6400,7100,700
1974,2330,3070,3810,4550,5290,6030,6770,7510,740
1975,2590,3410,4230,5050,5870,6690,7510,8330,820
1976,2800,3700,4600,5500,6400,7300,8200,9100,900
1977,2970,3930,4890,5850,6810,7770,8730,9690,960
1978,3140,4160,5180,6200,7220,8240,9260,10280,1020
1979,3400,4500,5600,6700,7800,8900,10000,11100,1100
1980,3790,5010,6230,7450,8670,9890,11110,12330,1220
1981,4310,5690,7070,8450,9830,11210,12590,13970,1380
1982,4680,6220,7760,9300,10840,12380,13920,15460,1540
1983,4860,6540,8220,9900,11580,13260,14940,16620,1680
1984,4980,6720,8460,10200,11940,13680,15420,17160,1740
1985,5250,7050,8850,10650,12450,14250,16050,17850,1800
1986,5360,7240,9120,11000,12880,14760,16640,18520,1880
1987,5500,7400,9300,11200,13100,15000,16900,18800,1900
1988,5770,7730,9690,11650,13610,15570,17530,19490,1960
1989,5980,8020,10060,12100,14140,16180,18220,20260,2040
1990,6280,8420,10560,12700,14840,16980,18120,21260,2140
1991,6620,8880,11140,13400,15660,17920,20180,22440,2260
1992,6810,9190,11570,13950,16330,18710,21090,23470,2380
1993,6970,9430,11890,14350,16810,19270,21730,24190,2460
1994,7360,9840,12320,14800,17280,19760,22240,24720,2480
1995,7470,10030,12590,15150,17710,20270,22830,25390,2560
1996,7740,10360,12980,15600,18220,20840,23460,26080,2620
1997,7890,10610,13330,16050,18770,21490,24210,26960,2720
1998,8050,10850,13650,16450,19250,22050,24850,27650,2800
1999,8240,11060,13880,16700,19520,22340,25160,27980,2820
2000,8350,11250,14150,17050,19950,22850,25750,28650,2900
2001,8590,11610,14630,17650,20670,23690,26710,29730,3020
2002,8860,11940,15020,18100,21180,24260,27340,30420,3080
2003,8980,12120,15260,18400,21540,24680,27820,30960,3140
2004,9310,12490,15670,18850,22030,25210,28390,31570,3180
2005,9570,12830,16090,19350,22610,25870,29130,32390,3260
2006,9800,13200,16600,20000,23400,26800,30200,33600,3400
2007,10210,13690,17170,20650,24130,27610,31090,34570,3480
2008,10400,14000,17600,21200,24800,28400,32000,35600,3600
2009,10830,14570,18310,22050,25790,29530,33270,37010,3740
2010,10830,14570,18310,22050,25790,29530,33270,37010,3740
2011,10890,14710,18530,22350,26170,29990,33810,37630,3820
2012,11170,15130,19090,23050,27010,30970,34930,38890,3960
2013,11490,15510,19530,23550,27570,31590,35610,39630,4020
2014,11670,15730,19790,23850,27910,31970,36030,40090,4060
